corps_key,corps_name,division,seasons_active,n_performances,aliases
001j000000iwwslaal,7th Regiment,Open Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,108,
arsenal,Arsenal,Open Class,2026,4,Arsenal DBC;Arsenal Drum & Bugle Corps;Arsenal Drum and Bugle Corps
001j000000i6i9saav,Blue Devils,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,258,
001j000000i6jmbaaf,Blue Devils B,Open Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,145,
001j000000i6kalaa3,Blue Devils C,Open Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,75,
001j000000iwwsoaal,Blue Knights,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,271,
001j000000iwwspaal,Blue Saints,Open Class,2013;2014;2015,25,
001j000000iwwsqaal,Blue Stars,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,263,
001j000000iwwsraal,Bluecoats,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,265,Bluecoats Rhythm IN BLUE
001j000000iwwssaal,Boston Crusaders,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,245,
calgary-round-up-band,Calgary Round-Up Band,Open Class,2025,3,
001j000000iwx91aad,Carolina Crown,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,262,
city-sound,City Sound,Open Class,2013;2014,12,City Sound Drum & Bugle Corps;City Sound Drum and Bugle Corps
001j000000iwx96aad,Coastal Surge,Open Class,2014,6,
001j000000iwx97aad,Colt Cadets,Open Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,156,
001j000000iwx98aad,Colts,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,253,
001j000000iwx99aad,Columbians,Open Class,2016;2017;2018;2019;2022;2023;2024;2025;2026,54,
001j000000iwx9aaat,Crossmen,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,234,
encorps,Encorps,Open Class,2019,4,Encorps Drum & Bugle Corps;Encorps Marching Music
001j000000iwx9oaad,Genesis,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,190,
001j000000iwx9paad,Gold,Open Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,170,
001j000000iwx9qaad,Golden Empire,Open Class,2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,99,
001j000000iwx9saad,Guardians,Open Class,2014;2015;2016;2017;2018;2019;2022;2023;2024,77,
001j000000iwx9taad,Heat Wave,Open Class,2015;2016;2017;2018;2019;2022;2023;2025,49,
high-school-affiliated-to-bit,High School Affiliated to BIT,Open Class,2025,3,
001j000000iwx9uaad,Impulse,Open Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,93,
001j000000iwx9vaad,Incognito,Open Class,2014;2015;2016;2017;2018;2019,41,Incognito DBC;Incognito Drum & Bugle Corps
001j000000iwx9waad,Jersey Surf,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024,165,
001j000000iwxa0aal,Legends,Open Class,2013;2014;2015;2016;2017;2018;2019;2022,114,
001j000000iwxa1aal,Les Stentors,Open Class,2013;2014;2015;2016;2017;2019;2022;2023;2024;2025;2026,94,
001j000000iwxa2aal,Louisiana Stars,Open Class,2014;2015;2016;2017;2018;2019;2022,66,
001j000000i6lenaa3,Madison Scouts,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,255,
001j000000iwxa3aal,Mandarins,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025,243,
001j000000iwxa5aal,Music City,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,186,
001j000000iwxa6aal,Oregon Crusaders,World Class,2013;2014;2015;2016;2017;2018,88,Oregan Crusaders;Oregon Crusaders Drum & Bugle Corps;Oregon Crusaders Drum and Bugle Corps
001j000000iwxa7aal,Pacific Crest,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,233,
001j000000h3xrnaav,Phantom Regiment,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,269,
001j000000iwxa8aal,Pioneer,World Class,2013;2014;2015;2016;2017;2018,101,Pioneer DBC;Pioneer Drum & Bugle Corps;Pioneer Drum Corps;Pioneer Drum and Bugle Corps
racine-scouts,Racine Scouts,Open Class,2013;2014;2015,29,Racine Scouts Drum & Bugle Corps;Racine Scouts Drum and Bugle Corps
001j000000iwxaaaa1,Raiders,Open Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,102,
001j000000qzs1qaaf,River City Rhythm,Open Class,2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,104,
001j000000h3xwcaav,Santa Clara Vanguard,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2024;2025;2026,244,
001j000000iwx93aad,Seattle Cascades,World Class,2013;2014;2015;2016;2017;2018;2019;2023;2024;2025;2026,178,
001j0000012tpxmaa2,Shadow,Open Class,2016;2017;2018;2019,35,Shadow DBC;Shadow Drum & Bugle Corps
001j000000iwxabaa1,Southwind,Open Class,2015;2016;2017;2018;2019;2022;2023,77,
001j000000iwxacaa1,Spartans,Open Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,152,
001j000000iwxadaa1,Spirit of Atlanta,World Class,2013;2014;2015;2016;2017;2018;2019;2023;2024;2025;2026,201,
001j000000iwxaeaa1,The Academy,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,245,
001j0000012y6bqaac,The Battalion,Open Class,2016;2017;2018;2019;2022;2023;2024;2025;2026,70,
001j000000i6kfgaan,The Cadets,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023,222,
001j000000iwxafaa1,The Cavaliers,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,264,
001j000000iwxaiaa1,Thunder,Open Class,2013;2015;2016,8,Spokane Thunder;Thunder Drum & Bugle Corps;Thunder Drum and Bugle Corps
001j000000iwxajaa1,Troopers,World Class,2013;2014;2015;2016;2017;2018;2019;2022;2023;2024;2025;2026,237,
001j000000iwxakaa1,Vanguard Cadets,Open Class,2013;2014;2015;2016;2017;2018;2019;2022,115,SCV Cadets;Santa Clara Vanguard Cadets;Vanguard Cadets Drum & Bugle Corps;Vanguard Cadets Drum and Bugle Corps
001j000000iwx95aad,Vessel,Open Class,2018;2019;2023;2024,30,
001j000000f17bwaaa,Watchmen,Open Class,2014;2015;2016;2017;2018;2019,43,
