slug,name,date,location,season,percent_through,n_performances
2013-midcal-champions-showcase,MidCal Champions Showcase,2013-06-21T04:00:00.000Z,"Clovis, CA",2013,3.8462,9
2013-corps-at-the-crest-san-diego,Corps at the Crest San Diego,2013-06-28T04:00:00.000Z,"Oceanside, CA",2013,17.3077,6
2013-corps-at-the-crest-walnut,Corps at the Crest Walnut,2013-06-29T04:00:00.000Z,"Walnut, CA",2013,19.2308,7
2013-western-corps-connection,Western Corps Connection,2013-06-30T04:00:00.000Z,"Riverside, CA",2013,21.1538,7
2013-the-beanpot-invitational,The Beanpot Invitational,2013-07-05T04:00:00.000Z,"Lynn, MA",2013,30.7692,7
2013-the-whitewater-classic,The Whitewater Classic,2013-07-05T04:00:00.000Z,"Whitewater, WI",2013,30.7692,8
2013-dci-capitol-classic-corps-show,DCI Capitol Classic Corps Show,2013-07-06T04:00:00.000Z,"Sacramento, CA",2013,32.6923,6
2013-drum-corps-an-american-tradition-3,Drum Corps: An American Tradition,2013-07-06T04:00:00.000Z,"Chester, PA",2013,32.6923,7
2013-drums-along-the-rockies,Drums Along the Rockies,2013-07-06T04:00:00.000Z,"Denver, CO",2013,32.6923,8
2013-pageant-of-drums,Pageant of Drums,2013-07-06T04:00:00.000Z,"Michigan City, IN",2013,32.6923,7
2013-cavalcade-of-brass,Cavalcade of Brass,2013-07-07T04:00:00.000Z,"Lisle, IL",2013,34.6154,7
2013-drum-corps-an-american-tradition-2,Drum Corps: An American Tradition,2013-07-07T04:00:00.000Z,"Chambersburg, PA",2013,34.6154,5
2013-loudest-show-on-earth,Loudest Show on Earth,2013-07-07T04:00:00.000Z,"Pleasant Hill, CA",2013,34.6154,6
2013-drums-across-nebraska,Drums Across Nebraska,2013-07-08T04:00:00.000Z,"Omaha, NE",2013,36.5385,7
2013-celebration-in-brass,Celebration in Brass,2013-07-10T04:00:00.000Z,"Waukee, IA",2013,40.3846,7
2013-percussion-on-the-pearl,Percussion on the Pearl,2013-07-11T04:00:00.000Z,"Muscatine, IA",2013,42.3077,7
2013-tour-of-champions-central-missouri,Tour of Champions - Central Missouri,2013-07-11T04:00:00.000Z,"Warrensburg, MO",2013,42.3077,7
2013-music-on-the-march,Music on the March,2013-07-12T04:00:00.000Z,"Dubuque, IA",2013,44.2308,8
2013-river-city-rhapsody-la-crosse-wi,River City Rhapsody - La Crosse WI,2013-07-12T04:00:00.000Z,"La Crosse, WI",2013,44.2308,7
2013-dci-minnesota,DCI Minnesota,2013-07-13T04:00:00.000Z,"Minneapolis, MN",2013,46.1538,20
2013-laguna-hills,Laguna Hills,2013-07-13T04:00:00.000Z,"Laguna Hills, CA",2013,46.1538,8
2013-so-cal-classic-open-class-championships,So Cal Classic Open Class Championships,2013-07-14T21:30:00.000Z,"Bellflower, CA",2013,50,8
2013-tour-of-champions-northern-illinois,Tour of Champions - Northern Illinois,2013-07-14T23:30:00.000Z,"DeKalb, IL",2013,50,7
2013-brass-impact,Brass Impact,2013-07-15T04:00:00.000Z,"Olathe, KS",2013,50,7
2013-dci-st-louis,DCI St. Louis,2013-07-15T04:00:00.000Z,"Lebanon, IL",2013,50,8
2013-drums-across-kansas,Drums Across Kansas,2013-07-16T04:00:00.000Z,"Wichita, KS",2013,51.9231,6
2013-music-on-the-move,Music on the Move,2013-07-16T04:00:00.000Z,"Bentonville, AR",2013,51.9231,8
2013-drums-of-summer,Drums of Summer,2013-07-17T04:00:00.000Z,"Broken Arrow, OK",2013,53.8462,10
2013-dci-north-dallas-presented-by-coserv-electric-for-red-river-thunder,DCI North Dallas Presented by CoServ Electric for Red River Thunder,2013-07-18T04:00:00.000Z,"Denton, TX",2013,55.7692,11
2013-dci-houston-presented-by-the-exsightment-of-sound,DCI Houston presented by THE exSIGHTment OF SOUND,2013-07-19T04:00:00.000Z,"Houston, TX",2013,57.6923,9
2013-dci-southwestern-championships-the-alamodome,DCI Southwestern Championships @ the Alamodome,2013-07-20T04:00:00.000Z,"San Antonio, TX",2013,59.6154,22
2013-tour-of-championships-texas,Tour of Championships - Texas,2013-07-21T04:00:00.000Z,"Round Rock, TX",2013,61.5385,7
2013-drums-across-cajun-field,Drums Across Cajun Field,2013-07-22T04:00:00.000Z,"Lafayette, LA",2013,63.4615,8
2013-dci-dallas-presented-by-north-texas-festival-of-drums-and-bugles,DCI Dallas presented by North Texas Festival of Drums and Bugles,2013-07-23T04:00:00.000Z,"Dallas, TX",2013,65.3846,6
2013-dci-in-the-heartland,DCI in the Heartland,2013-07-23T04:00:00.000Z,"Mustang, OK",2013,65.3846,8
2013-mississippi-sound-spectacular,Mississippi Sound Spectacular,2013-07-23T04:00:00.000Z,"Ocean Springs, MS",2013,65.3846,8
2013-dci-arkansas,DCI Arkansas,2013-07-24T04:00:00.000Z,"Little Rock, AR",2013,67.3077,8
2013-dci-southern-mississippi,DCI Southern Mississippi,2013-07-24T04:00:00.000Z,"Hattiesburg, MS",2013,67.3077,8
2013-alabama-sounds-of-summer,Alabama Sounds of Summer,2013-07-25T04:00:00.000Z,"Opelika, AL",2013,69.2308,6
2013-the-masters-of-the-summer-music-games,The Masters of the Summer Music Games,2013-07-26T04:00:00.000Z,"Murfreesboro, TN",2013,71.1538,8
2013-dci-north-alabama,DCI North Alabama,2013-07-27T04:00:00.000Z,"Huntsville, AL",2013,73.0769,15
2013-legends-drum-corps-open,Legends Drum Corps Open,2013-07-27T04:00:00.000Z,"Kalamazoo, MI",2013,73.0769,8
2013-nightbeat,NightBEAT,2013-07-27T04:00:00.000Z,"Charlotte, NC",2013,73.0769,7
2013-dci-atlanta-southeastern-championship,DCI Atlanta Southeastern Championship,2013-07-28T04:00:00.000Z,"Atlanta, GA",2013,75,22
2013-rhythm-across-rice-lake,Rhythm Across Rice Lake,2013-07-29T04:00:00.000Z,"Rice Lake, WI",2013,76.9231,7
2013-the-music-man-s-festival-of-brass,The Music Man’s Festival of Brass,2013-07-30T00:00:00.000Z,"Mason City, IA",2013,78.8462,9
2013-drums-across-the-tri-state,Drums Across the Tri-State,2013-07-30T04:00:00.000Z,"Charleston, WV",2013,78.8462,6
2013-emerald-city-music-games,Emerald City Music Games,2013-07-30T04:00:00.000Z,"Dublin, OH",2013,78.8462,8
