season,event_slug,event_name,date,location,division,corps_key,corps_name,rank,total,GE1,GE2,VP,VA,CG,MB,MA,MP,percent_through
2013,2013-midcal-champions-showcase,MidCal Champions Showcase,2013-06-21T04:00:00.000Z,"Clovis, CA",Open Class,001j000000i6jmbaaf,Blue Devils B,1,60.55,10.5,12.7,13.3,10.6,10.8,13.3,13.7,13,3.8462
2013,2013-midcal-champions-showcase,MidCal Champions Showcase,2013-06-21T04:00:00.000Z,"Clovis, CA",Open Class,001j000000iwxakaa1,Vanguard Cadets,2,60.25,10.8,12.2,13,11.2,11.3,13,13.2,12.8,3.8462
2013,2013-midcal-champions-showcase,MidCal Champions Showcase,2013-06-21T04:00:00.000Z,"Clovis, CA",Open Class,001j000000i6kalaa3,Blue Devils C,3,46.3,8.8,9.2,10,8.3,8.3,10.1,10.8,9.1,3.8462
2013,2013-midcal-champions-showcase,MidCal Champions Showcase,2013-06-21T04:00:00.000Z,"Clovis, CA",World Class,001j000000iwx91aad,Carolina Crown,1,74.5,15.2,15.6,14.2,15,14.5,14.8,14.8,14.1,3.8462
2013,2013-midcal-champions-showcase,MidCal Champions Showcase,2013-06-21T04:00:00.000Z,"Clovis, CA",World Class,001j000000i6i9saav,Blue Devils,2,74.35,14.9,15.3,14.4,14.5,14.7,15.1,15,14.6,3.8462
2013,2013-midcal-champions-showcase,MidCal Champions Showcase,2013-06-21T04:00:00.000Z,"Clovis, CA",World Class,001j000000h3xwcaav,Santa Clara Vanguard,3,71.15,13.8,14.9,13.7,14.7,13.6,14,14.1,14.8,3.8462
2013,2013-midcal-champions-showcase,MidCal Champions Showcase,2013-06-21T04:00:00.000Z,"Clovis, CA",World Class,001j000000iwwsoaal,Blue Knights,4,67,13.4,14.3,12.7,13,12.9,13,13.6,13.4,3.8462
2013,2013-midcal-champions-showcase,MidCal Champions Showcase,2013-06-21T04:00:00.000Z,"Clovis, CA",World Class,001j000000iwxa7aal,Pacific Crest,5,60.75,11.8,13.2,11.1,12,11.6,11.8,12.7,12.3,3.8462
2013,2013-midcal-champions-showcase,MidCal Champions Showcase,2013-06-21T04:00:00.000Z,"Clovis, CA",World Class,001j000000iwxa3aal,Mandarins,6,58.05,11.1,13.5,10.9,11,10.5,10.7,12.2,11.6,3.8462
2013,2013-corps-at-the-crest-san-diego,Corps at the Crest San Diego,2013-06-28T04:00:00.000Z,"Oceanside, CA",Open Class,001j000000iwx9paad,Gold,1,69.85,13.2,14.6,12.9,13,13,13.2,16,16,17.3077
2013,2013-corps-at-the-crest-san-diego,Corps at the Crest San Diego,2013-06-28T04:00:00.000Z,"Oceanside, CA",Open Class,001j000000iwx9uaad,Impulse,2,63.5,11.6,14,12,11.2,11.8,12.2,14.3,14.3,17.3077
2013,2013-corps-at-the-crest-san-diego,Corps at the Crest San Diego,2013-06-28T04:00:00.000Z,"Oceanside, CA",Open Class,city-sound,City Sound,3,52.1,8.9,11.4,10.7,8.9,9,11.6,11.7,11.7,17.3077
2013,2013-corps-at-the-crest-san-diego,Corps at the Crest San Diego,2013-06-28T04:00:00.000Z,"Oceanside, CA",World Class,001j000000iwx91aad,Carolina Crown,1,80.05,15.9,16,15.5,16,15.2,16.2,16.7,16.7,17.3077
2013,2013-corps-at-the-crest-san-diego,Corps at the Crest San Diego,2013-06-28T04:00:00.000Z,"Oceanside, CA",World Class,001j000000iwxa7aal,Pacific Crest,2,69.35,13.3,14.6,12.6,13.2,13.3,12.8,15.5,15.5,17.3077
2013,2013-corps-at-the-crest-san-diego,Corps at the Crest San Diego,2013-06-28T04:00:00.000Z,"Oceanside, CA",World Class,001j000000iwxa3aal,Mandarins,3,66.95,13,14.4,12,12.9,12.2,12,15,15,17.3077
2013,2013-corps-at-the-crest-walnut,Corps at the Crest Walnut,2013-06-29T04:00:00.000Z,"Walnut, CA",Open Class,001j000000iwx9paad,Gold,1,68.5,12.9,14.2,13,13.3,13.2,13.9,14.2,15.2,19.2308
2013,2013-corps-at-the-crest-walnut,Corps at the Crest Walnut,2013-06-29T04:00:00.000Z,"Walnut, CA",Open Class,001j000000iwx9uaad,Impulse,2,61.85,11.5,13.3,11.7,11.3,12.1,12.5,12.4,14.1,19.2308
2013,2013-corps-at-the-crest-walnut,Corps at the Crest Walnut,2013-06-29T04:00:00.000Z,"Walnut, CA",Open Class,city-sound,City Sound,3,53.35,9.1,12.1,10.6,9.3,9.2,10.1,11.9,13.2,19.2308
2013,2013-corps-at-the-crest-walnut,Corps at the Crest Walnut,2013-06-29T04:00:00.000Z,"Walnut, CA",World Class,001j000000iwx91aad,Carolina Crown,1,81.2,16,16.3,16.2,16.3,15.9,16.4,16.1,16.9,19.2308
2013,2013-corps-at-the-crest-walnut,Corps at the Crest Walnut,2013-06-29T04:00:00.000Z,"Walnut, CA",World Class,001j000000i6i9saav,Blue Devils,2,80.9,15.9,16.2,16.4,16.1,15.7,16.2,16.2,17,19.2308
2013,2013-corps-at-the-crest-walnut,Corps at the Crest Walnut,2013-06-29T04:00:00.000Z,"Walnut, CA",World Class,001j000000iwxa7aal,Pacific Crest,3,70.3,13.5,14.8,12.9,13.8,13.6,13.6,14,16.1,19.2308
2013,2013-corps-at-the-crest-walnut,Corps at the Crest Walnut,2013-06-29T04:00:00.000Z,"Walnut, CA",World Class,001j000000iwxa3aal,Mandarins,4,67.85,13.3,14.9,12.2,13.2,12.2,13,13.2,15.5,19.2308
2013,2013-western-corps-connection,Western Corps Connection,2013-06-30T04:00:00.000Z,"Riverside, CA",Open Class,001j000000iwx9paad,Gold,1,68.3,13.3,14,13.6,13.5,13.4,13.5,14.1,13.9,21.1538
2013,2013-western-corps-connection,Western Corps Connection,2013-06-30T04:00:00.000Z,"Riverside, CA",Open Class,001j000000iwx9uaad,Impulse,2,62.9,12.4,13.3,12.2,11.4,12,12.5,13.1,13.2,21.1538
2013,2013-western-corps-connection,Western Corps Connection,2013-06-30T04:00:00.000Z,"Riverside, CA",Open Class,city-sound,City Sound,3,53.35,9.9,12,10.9,9.4,8.8,11.2,10.6,12,21.1538
2013,2013-western-corps-connection,Western Corps Connection,2013-06-30T04:00:00.000Z,"Riverside, CA",World Class,001j000000iwx91aad,Carolina Crown,1,81.85,16.3,16.7,16.2,16.4,16.1,16.5,16.7,15.8,21.1538
