season,event_slug,corps_key,corps_name,caption_key,caption_name,category,score,rank
2013,2013-a-blast-in-the-burg,001j000000i6jmbaaf,Blue Devils B,GE1,General Effect 1,GE,18.9,1
2013,2013-a-blast-in-the-burg,001j000000i6jmbaaf,Blue Devils B,GE2,General Effect 2,GE,18.4,1
2013,2013-a-blast-in-the-burg,001j000000i6jmbaaf,Blue Devils B,VP,Visual Proficiency,Visual,18.6,1
2013,2013-a-blast-in-the-burg,001j000000i6jmbaaf,Blue Devils B,VA,Visual Analysis,Visual,18.6,1
2013,2013-a-blast-in-the-burg,001j000000i6jmbaaf,Blue Devils B,CG,Color Guard,Visual,18,2
2013,2013-a-blast-in-the-burg,001j000000i6jmbaaf,Blue Devils B,MB,Music - Brass,Music,18.1,2
2013,2013-a-blast-in-the-burg,001j000000i6jmbaaf,Blue Devils B,MA,Music - Analysis,Music,18.4,1
2013,2013-a-blast-in-the-burg,001j000000i6jmbaaf,Blue Devils B,MP,Music - Percussion,Music,18.4,1
2013,2013-a-blast-in-the-burg,001j000000iwwslaal,7th Regiment,GE1,General Effect 1,GE,16.8,5
2013,2013-a-blast-in-the-burg,001j000000iwwslaal,7th Regiment,GE2,General Effect 2,GE,17.4,5
2013,2013-a-blast-in-the-burg,001j000000iwwslaal,7th Regiment,VP,Visual Proficiency,Visual,17.3,5
2013,2013-a-blast-in-the-burg,001j000000iwwslaal,7th Regiment,VA,Visual Analysis,Visual,17.3,5
2013,2013-a-blast-in-the-burg,001j000000iwwslaal,7th Regiment,CG,Color Guard,Visual,16.8,5
2013,2013-a-blast-in-the-burg,001j000000iwwslaal,7th Regiment,MB,Music - Brass,Music,16.9,5
2013,2013-a-blast-in-the-burg,001j000000iwwslaal,7th Regiment,MA,Music - Analysis,Music,17.5,3
2013,2013-a-blast-in-the-burg,001j000000iwwslaal,7th Regiment,MP,Music - Percussion,Music,17.5,3
2013,2013-a-blast-in-the-burg,001j000000iwwspaal,Blue Saints,GE1,General Effect 1,GE,12.5,6
2013,2013-a-blast-in-the-burg,001j000000iwwspaal,Blue Saints,GE2,General Effect 2,GE,12.6,6
2013,2013-a-blast-in-the-burg,001j000000iwwspaal,Blue Saints,VP,Visual Proficiency,Visual,14.5,6
2013,2013-a-blast-in-the-burg,001j000000iwwspaal,Blue Saints,VA,Visual Analysis,Visual,14.5,6
2013,2013-a-blast-in-the-burg,001j000000iwwspaal,Blue Saints,CG,Color Guard,Visual,13,6
2013,2013-a-blast-in-the-burg,001j000000iwwspaal,Blue Saints,MB,Music - Brass,Music,12.7,6
2013,2013-a-blast-in-the-burg,001j000000iwwspaal,Blue Saints,MA,Music - Analysis,Music,12.9,6
2013,2013-a-blast-in-the-burg,001j000000iwwspaal,Blue Saints,MP,Music - Percussion,Music,12.9,6
2013,2013-a-blast-in-the-burg,001j000000iwx9oaad,Genesis,GE1,General Effect 1,GE,18.2,4
